time(ms) volume(mm3) height(mm)
0 0 0
0.1 0.166892061 0
0.2 1.096318558 0
0.3 2.280727272 0
0.4 3.894655647 0
0.5 4.986814926 0
0.6 6.303030304 0
0.7 7.569574757 0
0.8 9.140996744 0
0.9 10.77376609 0
1 13.11030303 0
1.1 14.17863661 0
1.2 16.13362585 0
1.3 17.35760781 0
1.4 18.66947157 0
1.5 20.75843927 0
1.6 22.23410969 0
1.7 23.23451641 0
1.8 24.50589331 0
1.9 25.89946807 0
2 27.30493564 0
2.1 28.13839419 0
2.2 28.71683847 0
2.3 30.22059805 0
2.4 44.63529577 0
2.5 49.99212623 0
2.6 54.43666416 0
2.7 64.09720211 0
2.8 82.22084649 0
2.9 94.95878579 0
3 100.2938182 0
3.1 107.3685349 -0.032467532
3.2 117.5657401 0
3.3 122.9435992 0
3.4 126.067402 0
3.5 136.4219064 0
3.6 138.8608626 0
3.7 152.5013333 0
3.8 177.908492 -0.032467532
3.9 225.1624982 -0.032467532
4 302.0129707 -0.032467532
4.1 382.49487 -0.032467532
4.2 468.2595822 -0.064935065
4.3 566.4020999 -0.032467532
4.4 675.2115085 -0.064935065
4.5 803.3868545 -0.064935065
4.6 908.3074899 -0.064935065
4.7 1019.688559 -0.064935065
4.8 1093.787793 -0.064935065
4.9 1164.463412 -0.097402597
5 1228.485731 -0.064935065
5.1 1285.251879 -0.064935065
5.2 1312.863271 -0.064935065
5.3 1348.351591 -0.064935065
5.4 1371.253405 -0.032467532
5.5 1388.607087 -0.032467532
5.6 1406.968796 0
5.7 1377.504297 0
5.8 1336.145607 0.032467532
5.9 1302.301812 0.064935065
6 1248.707606 0.097402597
6.1 1175.088693 0.12987013
6.2 1102.048649 0.162337662
6.3 1027.286768 0.194805195
6.4 960.5164235 0.25974026
6.5 921.7298272 0.292207792
6.6 893.4346141 0.292207792
6.7 886.2887335 0.357142857
6.8 909.8550304 0.38961039
6.9 966.377112 0.38961039
7 1068.787754 0.422077922
7.1 1181.980626 0.422077922
7.2 1306.215862 0.422077922
7.3 1431.776809 0.422077922
7.4 1565.901655 0.422077922
7.5 1688.048484 0.422077922
7.6 1788.046088 0.422077922
7.7 1876.39046 0.422077922
7.8 1954.483394 0.422077922
7.9 1998.741733 0.422077922
8 2018.403246 0.422077922
8.1 2019.384723 0.422077922
8.2 1986.436272 0.454545455
8.3 1928.053903 0.454545455
8.4 1879.68 0.454545455
8.5 1821.957097 0.487012987
8.6 1777.20018 0.519480519
8.7 1714.483322 0.519480519
8.8 1604.12844 0.551948052
8.9 1506.597081 0.584415584
9 1414.056799 0.616883117
9.1 1349.814616 0.649350649
9.2 1304.721503 0.681818182
9.3 1261.191533 0.714285714
9.4 1241.314909 0.746753247
9.5 1236.538943 0.746753247
9.6 1249.920544 0.779220779
9.7 1281.848835 0.779220779
9.8 1330.003674 0.811688312
9.9 1403.25544 0.811688312
10 1475.663563 0.811688312
10.1 1545.895645 0.811688312
10.2 1623.090008 0.811688312
10.3 1705.518256 0.811688312
10.4 1794.580515 0.811688312
10.5 1845.052024 0.811688312
10.6 1871.167085 0.811688312
10.7 1886.924212 0.811688312
10.8 1906.901878 0.811688312
10.9 1884.606061 0.844155844
11 1867.629799 0.844155844
11.1 1825.4766 0.844155844
11.2 1804.849912 0.876623377
11.3 1769.035211 0.876623377
11.4 1719.74376 0.909090909
11.5 1687.332784 0.941558442
11.6 1652.822872 0.941558442
11.7 1539.490909 0.974025974
11.8 1494.39471 1.006493506
11.9 1460.462497 1.038961039
12 1411.328641 1.038961039
12.1 1396.960481 1.071428571
12.2 1420.298722 1.071428571
12.3 1434.739306 1.071428571
12.4 1475.141755 1.103896104
